scene,split,step,psnr,ssim,lpips,ellipse_time,num_GS,mem_gb,train_runtime,eval_runtime,full_runtime,script_path,partition,gpu_num,log_out,log_err,trace,sample,project_dir,gpus,cpus,mem,time,force_overwrite,gpu_type,scenes,args,profile_output
counter,val,6999,27.41519546508789,0.8923904895782471,0.1795237958431244,0.04782872200012207,1694090,,18m4.273s,1m35.321s,28m20.885s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,counter,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-counter
counter,val,29999,29.212677001953125,0.9194129109382629,0.13303440809249878,0.040153368314107256,1674606,,18m4.273s,1m35.321s,28m20.885s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,counter,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-counter
garden,train,6999,,,,482.04776549339294,6593498,12.889298439025879,27m18.847s,1m3.715s,40m43.849s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,garden,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-garden
garden,train,29999,,,,2480.4524250030518,6866499,13.114688396453857,27m18.847s,1m3.715s,40m43.849s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,garden,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-garden
garden,val,6999,26.956157684326172,0.8543497920036316,0.09800692647695541,0.07314942280451457,6593498,,27m18.847s,1m3.715s,40m43.849s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,garden,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-garden
garden,val,29999,27.756484985351562,0.8762716054916382,0.0650060623884201,0.09085652232170105,6866499,,27m18.847s,1m3.715s,40m43.849s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,garden,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-garden
kitchen,train,6999,,,,398.5004999637604,2925631,6.825448989868164,19m53.726s,2m10.729s,34m8.706s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,kitchen,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-kitchen
kitchen,train,29999,,,,1878.612069606781,2776519,6.825448989868164,19m53.726s,2m10.729s,34m8.706s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,kitchen,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-kitchen
kitchen,val,6999,29.23426628112793,0.9127579927444458,0.10891955345869064,0.093246214730399,2925631,,19m53.726s,2m10.729s,34m8.706s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,kitchen,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-kitchen
kitchen,val,29999,31.565196990966797,0.9352632761001587,0.08093256503343582,0.08143599373953683,2776519,,19m53.726s,2m10.729s,34m8.706s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,kitchen,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-kitchen
room,train,6999,,,,250.84552764892578,1699762,4.747282028198242,18m38.219s,1m46.750s,29m4.475s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,room,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-room
room,train,29999,,,,1101.3663787841797,1978891,4.863400936126709,18m38.219s,1m46.750s,29m4.475s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,room,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-room
room,val,6999,29.408035278320312,0.9052532911300659,0.18820303678512573,0.0454557675581712,1699762,,18m38.219s,1m46.750s,29m4.475s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,room,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-room
room,val,29999,31.52364730834961,0.9292730093002319,0.14132258296012878,0.03953079076913687,1978891,,18m38.219s,1m46.750s,29m4.475s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,room,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-room
stump,train,6999,,,,364.627081155777,6627245,12.734492301940918,26m47.513s,1m20.411s,38m25.626s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,stump,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-stump
stump,train,29999,,,,1939.0984568595886,6681081,12.734492301940918,26m47.513s,1m20.411s,38m25.626s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,stump,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-stump
stump,val,6999,26.59296226501465,0.7663695216178894,0.18681421875953674,0.1846940666437149,6627245,,26m47.513s,1m20.411s,38m25.626s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,stump,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-stump
